Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/02  08:00:00,1.998840464,5.049148169,0,5.016067993,0,0.128591168,0.128591168,0.128591168,0.301621517,0.064977292,0.207405929,0.480263352,0.784337206
 01/02  09:00:00,1.916101477,4.53369911,0,4.505731732,0,0.115695319,0.115695319,0.115695319,0.288786568,0.062212303,0.268690649,0.406034923,0.758037715
 01/02  10:00:00,1.653467622,4.074186495,0,4.050383994,0,0.103785987,0.103785987,0.103785987,0.147602041,0.031797395,0.330033496,0.345568553,0.678036151
 01/02  11:00:00,1.573045332,4.899223292,0,4.874860996,0,0.126284028,0.126284028,0.126284028,0.121932142,0.026267417,0.34487662,0.353695754,0.583345371
 01/02  12:00:00,1.480864374,3.985492737,0,3.961122977,0,0.102309117,0.102309117,0.102309117,0.121932142,0.026267417,0.361119726,0.353804116,0.498787856
 01/02  13:00:00,1.391616302,3.667544544,0,3.643585301,0,0.094245244,0.094245244,0.094245244,0.121932142,0.026267417,0.351845974,0.347844169,0.432837356
 01/02  14:00:00,1.323301719,3.37866115,0,3.353873409,0,0.087020246,0.087020246,0.087020246,0.121932142,0.026267417,0.317847783,0.359872426,0.393717705
 01/02  15:00:00,1.270994814,2.752330418,0,2.726146921,0,0.070745623,0.070745623,0.070745623,0.128349577,0.027649903,0.292642171,0.380136245,0.354827295
 01/02  16:00:00,1.336066195,2.350595534,0,2.322956569,0,0.060462285,0.060462285,0.060462285,0.160436991,0.034562383,0.302863616,0.401266965,0.359829954
 01/02  17:00:00,1.638196581,2.290588713,0,2.257896661,0,0.058815386,0.058815386,0.058815386,0.269534103,0.058064812,0.353720743,0.474628493,0.406789043
 01/02  18:00:00,2.230703376,2.957771988,0,2.918056371,0,0.076739728,0.076739728,0.076739728,0.500563357,0.107834641,0.445069937,0.576597765,0.507253948
 01/02  19:00:00,2.629378424,2.102300752,0,2.059181578,0,0.053663068,0.053663068,0.053663068,0.744427561,0.160369476,0.398283704,0.626011142,0.599979473
 01/02  20:00:00,2.603440973,1.999425949,0,1.954918483,0,0.050826688,0.050826688,0.050826688,0.789349925,0.170046944,0.315345897,0.646166599,0.615060921
 01/02  21:00:00,2.402845375,2.164308088,0,2.118270514,0,0.055101421,0.055101421,0.055101421,0.680252812,0.146544516,0.275874928,0.668380946,0.560046753
 01/02  22:00:00,2.177041031,2.42936461,0,2.384401843,0,0.062020176,0.062020176,0.062020176,0.5711557,0.123042104,0.258342283,0.652776722,0.493060046
 01/02  23:00:00,1.766827612,2.753582741,0,2.714673228,0,0.07056755,0.07056755,0.07056755,0.429971094,0.092627195,0.205880856,0.564894597,0.386242321
 01/02  24:00:00,1.352764667,3.104432298,0,3.070620656,0,0.079740517,0.079740517,0.079740517,0.295204003,0.063594789,0.135920782,0.490882893,0.270777684
 01/03  01:00:00,0.936142853,3.551271031,0,3.523303653,0,0.091431813,0.091431813,0.091431813,0.154019476,0.033179897,0.086369242,0.406034923,0.148463502
 01/03  02:00:00,0.762969183,3.818280126,0,3.792529538,0,0.098398705,0.098398705,0.098398705,0.089844728,0.019354937,0.072238755,0.37385121,0.092636848
 01/03  03:00:00,0.704376647,4.007300471,0,3.98184844,0,0.103059053,0.103059053,0.103059053,0.064174796,0.013824955,0.059715255,0.369516703,0.077441885
 01/03  04:00:00,0.697850453,4.066788982,0,4.04169522,0,0.104463632,0.104463632,0.104463632,0.064174796,0.013824955,0.052611026,0.364315295,0.081816748
 01/03  05:00:00,0.740288548,4.114576292,0,4.090430451,0,0.105577142,0.105577142,0.105577142,0.064174796,0.013824955,0.063151709,0.350553236,0.12636271
 01/03  06:00:00,0.987449471,4.064217427,0,4.037272609,0,0.10419164,0.10419164,0.10419164,0.064174796,0.013824955,0.075981488,0.391189237,0.321443354
 01/03  07:00:00,1.560367405,3.790961646,0,3.759829558,0,0.096978898,0.096978898,0.096978898,0.147602041,0.031797395,0.129758031,0.451980695,0.685606346
